city,date,aqi,pm2_5,pm10,no2,o3,temperature,humidity,hospital_admissions,population_density,hospital_capacity
Mexico City,2098-10-06,52,35.1,70.9,43.0,38.4,6.3,61,5,Urban,1735
Beijing,2098-10-07,393,25.1,51.3,30.3,52.0,15.6,39,1,Urban,654
Beijing,2098-10-08,150,18.6,37.3,22.7,41.3,8.1,76,7,Urban,1395
Tokyo,2098-10-09,462,22.4,51.7,31.8,72.2,32.7,67,13,Suburban,1261
Tokyo,2098-10-10,37,42.5,61.9,24.7,28.1,37.0,24,14,Suburban,186
Beijing,2098-10-11,349,26.8,73.8,25.1,71.8,22.4,80,11,Urban,993
Beijing,2098-10-12,92,38.6,73.2,24.6,46.2,16.9,84,10,Urban,1348
Delhi,2098-10-13,193,36.3,61.2,33.2,48.5,5.4,31,5,Urban,397
Beijing,2098-10-14,243,41.0,40.8,32.8,38.8,35.7,28,2,Suburban,711
Beijing,2098-10-15,285,56.7,49.7,19.8,34.3,28.4,65,16,Urban,1831
Delhi,2098-10-16,212,20.9,17.9,48.3,45.0,9.3,82,10,Urban,1256
Los Angeles,2098-10-17,380,40.1,14.9,56.5,42.3,0.9,67,13,Suburban,1784
Beijing,2098-10-18,1,48.4,31.4,20.0,34.3,-1.8,35,11,Suburban,1151
Delhi,2098-10-19,219,26.8,67.8,35.9,33.0,5.5,87,9,Urban,1620
Mexico City,2098-10-20,190,58.0,23.3,19.5,19.7,16.6,88,10,Urban,1110
Beijing,2098-10-21,447,22.2,64.9,39.1,35.0,7.5,46,5,Suburban,500
Beijing,2098-10-22,454,54.7,72.0,29.3,36.5,-1.9,50,5,Urban,1787
Delhi,2098-10-23,155,47.5,40.0,34.6,6.6,-0.7,83,4,Urban,1604
Delhi,2098-10-24,475,29.6,29.4,31.0,41.5,20.7,90,12,Suburban,477
Beijing,2098-10-25,472,63.7,48.6,21.6,18.7,-1.4,42,6,Urban,1193
Beijing,2098-10-26,348,17.8,74.9,19.7,47.5,13.6,40,10,Urban,1169
Delhi,2098-10-27,351,40.7,55.2,6.4,38.0,27.4,62,6,Suburban,1295
London,2098-10-28,378,14.7,26.3,28.6,52.3,20.2,20,10,Urban,1608
London,2098-10-29,443,35.5,53.2,26.0,48.1,28.0,33,16,Urban,630
Beijing,2098-10-30,254,28.6,25.1,53.9,28.9,1.1,42,8,Urban,1606
London,2098-10-31,480,24.6,17.8,37.4,20.9,-2.8,71,6,Urban,1445
Beijing,2098-11-01,26,42.1,81.8,31.1,55.0,27.4,32,9,Suburban,1669
Delhi,2098-11-02,11,38.3,50.4,26.7,41.6,21.8,48,14,Urban,729
Beijing,2098-11-03,174,42.6,39.4,44.5,27.9,11.0,37,10,Urban,1598
Beijing,2098-11-04,406,31.7,43.4,41.5,50.9,6.0,56,6,Suburban,1844
Beijing,2098-11-05,24,19.7,31.7,17.9,19.9,14.2,88,7,Rural,1968
Cairo,2098-11-06,195,46.9,12.1,27.9,29.9,17.4,58,9,Suburban,297
Beijing,2098-11-07,282,52.3,76.9,37.5,32.3,17.4,46,7,Urban,128
Delhi,2098-11-08,93,32.6,42.3,53.3,40.9,11.3,42,10,Urban,1262
Delhi,2098-11-09,310,52.3,48.0,45.0,45.1,31.8,40,18,Urban,98
Tokyo,2098-11-10,245,65.7,62.1,15.6,63.9,30.2,84,13,Urban,108
Delhi,2098-11-11,487,57.3,50.3,21.1,47.3,21.5,26,11,Urban,1841
Tokyo,2098-11-12,328,41.0,35.3,22.2,35.1,22.4,83,6,Suburban,1667
Delhi,2098-11-13,303,26.9,67.8,32.3,23.4,18.9,90,11,Urban,1353
Los Angeles,2098-11-14,73,18.2,73.8,18.5,56.9,30.2,70,9,Urban,369
Delhi,2098-11-15,344,46.9,95.1,16.3,25.6,24.0,87,12,Urban,1297
Delhi,2098-11-16,477,27.1,48.3,24.9,39.4,39.0,47,4,Suburban,1725
Delhi,2098-11-17,328,47.2,58.9,32.0,26.8,25.7,72,4,Rural,1777
Delhi,2098-11-18,443,21.1,56.4,29.4,52.9,8.4,73,10,Suburban,1035
Delhi,2098-11-19,230,55.7,24.1,24.2,46.4,-3.5,69,15,Urban,916
Delhi,2098-11-20,487,27.8,23.8,38.3,33.8,-3.6,75,4,Urban,1560
Mexico City,2098-11-21,205,19.3,61.9,33.8,55.2,37.6,38,3,Suburban,1087
Mexico City,2098-11-22,143,37.1,81.0,37.0,32.9,39.0,49,8,Urban,258
Delhi,2098-11-23,63,22.7,52.8,18.2,26.8,18.5,22,7,Urban,398
Mexico City,2098-11-24,237,22.6,8.7,17.7,37.1,10.6,83,9,Urban,643
Los Angeles,2098-11-25,16,47.7,56.6,30.5,45.8,-0.4,33,15,Suburban,1206
São Paulo,2098-11-26,432,28.0,72.0,28.9,40.3,2.9,20,5,Urban,555
Beijing,2098-11-27,353,48.1,52.1,20.9,44.2,32.0,28,11,Suburban,1601
Beijing,2098-11-28,294,42.8,66.1,26.5,33.6,25.1,29,7,Urban,1930
Cairo,2098-11-29,441,34.5,49.1,45.7,60.2,29.6,51,4,Urban,1652
Tokyo,2098-11-30,419,33.5,54.9,45.2,38.7,39.3,50,5,Urban,259
Tokyo,2098-12-01,347,27.1,51.3,20.0,45.2,-1.6,68,2,Suburban,1887
Mexico City,2098-12-02,0,26.2,57.3,18.9,40.8,33.3,50,6,Suburban,1262
Mexico City,2098-12-03,385,39.7,48.7,19.7,34.4,-4.0,54,12,Urban,1319
Tokyo,2098-12-04,260,46.0,53.1,33.2,30.3,10.6,63,14,Rural,1829
Beijing,2098-12-05,83,45.2,62.4,26.8,43.1,24.9,64,16,Suburban,883
Delhi,2098-12-06,453,57.0,51.9,22.7,1.6,34.6,90,7,Urban,1138
São Paulo,2098-12-07,142,36.7,62.7,51.1,40.8,5.1,31,8,Urban,920
London,2098-12-08,382,60.8,67.2,21.1,42.2,17.7,21,9,Urban,963
Delhi,2098-12-09,116,36.1,42.7,22.5,35.8,11.7,23,3,Urban,1366
Delhi,2098-12-10,45,39.9,74.9,36.2,36.3,3.4,87,3,Suburban,149
Tokyo,2098-12-11,466,73.4,61.4,31.2,36.3,6.0,91,12,Urban,1701
Beijing,2098-12-12,399,51.1,80.3,28.0,44.6,26.2,59,10,Urban,1689
Mexico City,2098-12-13,444,39.1,26.0,34.2,17.5,29.7,56,0,Urban,1731
Delhi,2098-12-14,149,47.4,39.9,45.9,45.2,23.0,59,13,Urban,607
Delhi,2098-12-15,54,40.3,47.7,20.8,42.4,8.9,42,16,Urban,1178
Los Angeles,2098-12-16,318,66.5,43.3,44.4,42.7,21.1,30,12,Suburban,1552
Cairo,2098-12-17,318,31.2,49.6,32.9,41.1,-0.1,78,11,Urban,1171
Beijing,2098-12-18,183,16.9,23.3,49.7,36.4,17.6,58,3,Urban,805
Delhi,2098-12-19,286,34.5,43.5,28.8,36.1,7.5,77,12,Urban,1141
Delhi,2098-12-20,435,29.0,52.0,35.7,47.9,3.3,37,10,Urban,1111
Delhi,2098-12-21,110,29.4,48.2,48.7,37.1,34.5,67,12,Suburban,703
Tokyo,2098-12-22,426,16.4,44.1,35.1,19.9,-0.7,76,12,Urban,825
Beijing,2098-12-23,466,52.0,46.7,38.4,44.2,15.6,62,7,Urban,997
Tokyo,2098-12-24,464,46.1,56.3,31.0,60.1,5.5,64,12,Rural,1967
London,2098-12-25,156,64.5,65.6,37.2,48.8,38.4,46,10,Urban,1395
Beijing,2098-12-26,270,43.3,69.0,35.2,39.0,19.4,29,8,Suburban,1791
Delhi,2098-12-27,222,51.5,31.3,37.8,43.3,-3.2,41,13,Suburban,1105
Cairo,2098-12-28,279,34.9,64.7,31.3,38.2,13.3,69,8,Urban,321
Delhi,2098-12-29,244,28.1,64.6,36.0,43.0,7.1,24,11,Rural,1756
London,2098-12-30,62,23.0,45.0,37.7,45.2,3.8,28,7,Suburban,1193
Beijing,2098-12-31,191,53.1,45.6,30.7,34.7,35.1,51,6,Urban,1583
Beijing,2099-01-01,320,47.4,28.9,16.4,27.5,21.5,71,10,Suburban,222
Beijing,2099-01-02,422,45.4,22.7,26.9,34.3,32.5,73,10,Urban,1650
Beijing,2099-01-03,483,27.1,70.3,46.8,31.0,23.7,68,6,Suburban,1047
Mexico City,2099-01-04,307,61.2,57.1,14.8,33.0,15.3,27,14,Urban,938
Mexico City,2099-01-05,428,31.7,49.7,30.7,39.5,3.9,35,9,Suburban,299
Delhi,2099-01-06,282,35.3,81.1,33.6,34.4,10.0,74,13,Urban,1715
Beijing,2099-01-07,190,30.3,56.9,26.5,58.6,23.9,36,9,Urban,1874
Beijing,2099-01-08,283,39.9,59.7,18.5,43.0,-1.9,40,13,Urban,606
Tokyo,2099-01-09,125,53.0,47.7,19.1,31.6,4.5,85,4,Urban,757
Tokyo,2099-01-10,130,37.9,42.9,50.1,36.2,-4.4,32,3,Suburban,407
Mexico City,2099-01-11,174,34.2,75.0,25.8,47.9,35.0,42,8,Urban,716
Cairo,2099-01-12,435,20.4,77.5,44.1,63.6,22.9,55,5,Rural,459
Beijing,2099-01-13,412,60.4,29.7,23.9,36.7,20.6,41,12,Urban,865
Delhi,2099-01-14,213,14.3,52.4,22.4,35.3,37.8,93,4,Urban,173
Delhi,2099-01-15,275,16.4,54.4,27.0,31.3,14.0,40,4,Suburban,1249
London,2099-01-16,140,43.4,9.8,38.6,59.2,20.5,81,4,Urban,1781
Beijing,2099-01-17,120,33.4,83.0,26.6,38.0,14.7,35,8,Rural,1876
London,2099-01-18,445,42.7,13.2,28.9,49.8,21.2,48,8,Urban,506
Beijing,2099-01-19,300,34.3,39.5,27.6,29.7,8.8,23,9,Urban,579
Delhi,2099-01-20,224,13.5,44.4,22.1,46.6,37.8,70,7,Urban,1770
Beijing,2099-01-21,167,12.4,62.6,25.0,52.7,12.7,91,7,Suburban,1068
Mexico City,2099-01-22,346,9.5,61.8,31.1,32.6,27.1,56,4,Suburban,1388
Beijing,2099-01-23,302,69.5,59.8,17.8,58.3,0.8,27,15,Suburban,751
London,2099-01-24,173,19.0,32.0,27.8,26.1,37.3,84,2,Urban,465
Mexico City,2099-01-25,177,28.5,32.1,28.0,39.6,-2.7,60,7,Urban,1383
Beijing,2099-01-26,181,51.4,42.9,24.4,63.3,5.3,25,10,Suburban,1546
Los Angeles,2099-01-27,377,49.8,52.2,23.3,46.3,38.5,27,11,Urban,1104
Beijing,2099-01-28,244,23.6,42.4,29.1,25.3,14.9,67,5,Rural,1744
London,2099-01-29,249,26.7,28.1,20.6,48.4,-3.9,50,8,Suburban,1590
Delhi,2099-01-30,480,33.7,63.2,17.1,42.5,15.3,43,4,Suburban,703
Mexico City,2099-01-31,270,25.1,9.6,30.4,36.0,12.1,57,6,Urban,261
Beijing,2099-02-01,499,45.2,33.5,15.3,45.8,19.1,67,10,Urban,1956
Delhi,2099-02-02,19,78.9,42.7,27.5,49.5,16.3,37,12,Urban,1632
Mexico City,2099-02-03,62,28.5,40.6,32.4,51.2,31.3,52,10,Urban,1952
Beijing,2099-02-04,470,25.9,53.2,40.0,59.5,9.7,44,6,Rural,696
Mexico City,2099-02-05,138,46.1,14.4,37.7,37.8,8.9,65,7,Suburban,545
Beijing,2099-02-06,26,2.4,47.1,22.2,43.0,2.1,72,6,Urban,1124
Delhi,2099-02-07,66,38.2,11.4,35.0,39.0,17.9,79,10,Urban,353
Delhi,2099-02-08,63,21.2,29.2,28.9,41.4,33.4,33,5,Urban,304
Los Angeles,2099-02-09,338,59.0,35.2,30.2,29.5,9.2,78,6,Urban,606
Beijing,2099-02-10,49,21.9,77.8,35.6,44.1,18.6,52,14,Urban,83
Beijing,2099-02-11,218,34.1,57.2,32.5,20.1,13.6,41,9,Urban,784
Delhi,2099-02-12,101,32.9,57.7,25.9,28.7,-4.6,24,10,Urban,1014
Beijing,2099-02-13,261,40.6,76.8,5.4,30.0,4.4,21,11,Suburban,481
Mexico City,2099-02-14,215,46.4,56.7,6.1,24.2,26.2,20,10,Rural,1837
Tokyo,2099-02-15,411,42.3,52.2,23.9,60.7,13.7,90,15,Urban,1430
Mexico City,2099-02-16,23,18.8,97.8,38.4,40.7,33.0,76,10,Suburban,726
Beijing,2099-02-17,97,38.8,60.2,43.2,34.9,35.5,38,13,Rural,1709
Beijing,2099-02-18,161,50.9,39.3,26.4,37.9,9.7,31,9,Urban,1477
Mexico City,2099-02-19,217,24.9,46.2,32.5,56.9,8.9,31,11,Urban,1041
Los Angeles,2099-02-20,379,29.0,77.7,43.9,26.6,26.9,83,4,Urban,672
Delhi,2099-02-21,112,45.4,64.0,26.3,55.9,15.1,69,10,Suburban,1961
Los Angeles,2099-02-22,341,17.7,54.9,19.8,77.9,35.5,36,2,Suburban,1728
Delhi,2099-02-23,242,43.7,73.1,31.6,21.1,36.6,51,16,Suburban,1301
Delhi,2099-02-24,28,43.6,69.0,28.3,43.2,35.5,51,7,Urban,338
Delhi,2099-02-25,490,16.9,59.8,36.5,47.2,0.9,57,11,Urban,1696
Delhi,2099-02-26,407,42.4,58.1,28.0,28.7,8.4,37,9,Urban,1576
Delhi,2099-02-27,361,32.9,45.5,23.1,37.5,35.9,85,3,Urban,76
Delhi,2099-02-28,192,27.0,41.7,27.7,42.2,8.6,87,5,Suburban,854
Delhi,2099-03-01,396,46.7,70.5,32.4,66.4,-3.9,76,5,Urban,1846
Delhi,2099-03-02,410,22.2,77.8,28.3,47.4,38.8,49,4,Urban,1680
Delhi,2099-03-03,300,37.9,78.7,26.4,46.4,24.6,86,11,Urban,426
Beijing,2099-03-04,204,39.5,48.8,36.4,59.7,18.9,65,16,Suburban,1165
London,2099-03-05,61,42.6,34.2,52.8,45.9,11.7,53,7,Urban,230
Mexico City,2099-03-06,460,55.2,30.8,42.9,33.8,18.4,71,8,Urban,1858
Delhi,2099-03-07,108,43.0,29.7,34.1,54.4,34.6,54,4,Suburban,883
Beijing,2099-03-08,433,37.8,45.0,12.5,40.4,25.5,71,10,Urban,331
Beijing,2099-03-09,144,26.6,56.0,17.0,42.4,24.8,26,9,Urban,1631
Delhi,2099-03-10,155,46.4,48.4,6.0,47.3,7.5,82,6,Urban,1325
Beijing,2099-03-11,216,43.3,49.2,30.2,26.4,34.0,31,5,Urban,1595
Beijing,2099-03-12,301,21.4,13.3,20.1,51.8,39.7,63,6,Urban,794
Beijing,2099-03-13,192,31.6,54.8,10.9,52.7,35.4,78,6,Urban,108
Mexico City,2099-03-14,221,22.0,26.1,31.5,47.8,6.2,76,6,Urban,583
Beijing,2099-03-15,96,41.5,8.9,31.7,24.7,10.4,36,6,Urban,571
Delhi,2099-03-16,227,34.5,43.3,44.0,28.8,24.8,78,7,Suburban,1211
Delhi,2099-03-17,346,42.4,50.7,32.9,28.7,0.2,81,17,Rural,1539
Tokyo,2099-03-18,220,31.2,33.6,34.1,45.7,25.2,66,9,Suburban,470
Mexico City,2099-03-19,217,38.8,39.8,45.4,35.5,-2.0,94,5,Suburban,1105
Mexico City,2099-03-20,322,40.3,52.1,31.9,52.0,29.9,86,14,Rural,397
Tokyo,2099-03-21,360,43.9,70.9,35.9,32.2,23.4,52,5,Urban,158
Beijing,2099-03-22,204,36.2,66.4,43.8,51.0,16.5,31,2,Urban,1171
Delhi,2099-03-23,301,18.9,53.9,24.0,50.1,37.7,74,10,Rural,1857
Los Angeles,2099-03-24,325,49.7,62.4,41.5,79.1,24.6,55,17,Urban,371
Delhi,2099-03-25,162,50.2,41.4,49.7,50.5,30.1,65,14,Urban,413
Mexico City,2099-03-26,150,56.6,57.4,29.2,52.3,5.9,63,12,Urban,379
Beijing,2099-03-27,394,21.1,67.6,39.1,71.0,35.5,51,6,Urban,931
Delhi,2099-03-28,448,26.7,67.8,29.2,42.4,31.3,89,3,Urban,1838
Delhi,2099-03-29,315,20.2,34.0,32.1,50.2,23.4,44,1,Urban,1587
Beijing,2099-03-30,456,3.6,76.2,20.8,40.1,29.7,25,5,Urban,562
Mexico City,2099-03-31,398,47.8,76.7,11.3,43.4,15.3,74,10,Urban,1681
Delhi,2099-04-01,344,13.3,85.0,33.5,41.8,23.8,57,5,Urban,716
Delhi,2099-04-02,383,44.9,47.1,32.1,34.3,30.0,59,8,Urban,1527
Beijing,2099-04-03,289,14.2,10.0,27.7,35.2,18.4,25,6,Suburban,198
London,2099-04-04,49,9.9,73.3,16.9,62.1,5.4,88,5,Urban,685
Los Angeles,2099-04-05,319,28.7,84.5,32.4,49.9,29.2,93,12,Urban,1420
Mexico City,2099-04-06,291,41.5,58.6,49.4,41.1,22.8,90,8,Urban,1881
Beijing,2099-04-07,190,8.5,43.8,44.6,51.1,34.2,46,11,Urban,1011
Beijing,2099-04-08,395,26.8,40.6,27.6,39.6,36.6,29,6,Suburban,1735
Delhi,2099-04-09,209,12.4,45.9,41.3,54.1,39.2,46,6,Urban,340
Delhi,2099-04-10,176,45.5,85.4,17.1,58.9,14.6,83,4,Suburban,1905
Delhi,2099-04-11,254,34.9,57.1,8.0,26.3,39.6,33,8,Rural,357
London,2099-04-12,458,35.3,62.3,8.5,33.5,32.6,33,6,Suburban,1926
Beijing,2099-04-13,153,48.2,44.6,21.8,36.0,29.4,59,10,Urban,733
Delhi,2099-04-14,234,31.6,12.7,40.6,66.4,12.8,57,5,Urban,68
Beijing,2099-04-15,138,41.6,109.8,30.9,25.2,21.3,38,19,Urban,524
Delhi,2099-04-16,375,59.2,25.4,23.5,54.9,33.8,75,7,Suburban,1807
Beijing,2099-04-17,264,35.6,64.1,29.1,55.3,12.4,51,11,Urban,1353
Mexico City,2099-04-18,76,8.2,62.8,16.1,31.1,6.3,81,2,Suburban,443
London,2099-04-19,329,41.9,71.7,53.9,32.0,29.7,44,12,Urban,378
Los Angeles,2099-04-20,488,22.3,72.1,21.2,35.2,39.2,70,20,Suburban,1979
Tokyo,2099-04-21,245,28.7,62.8,19.6,47.5,23.8,30,8,Suburban,571
Delhi,2099-04-22,56,24.8,58.7,27.4,56.9,32.6,34,6,Suburban,360
Mexico City,2099-04-23,105,37.9,77.3,2.2,31.7,34.2,93,10,Urban,735
Tokyo,2099-04-24,274,32.6,91.7,26.5,25.3,22.6,69,4,Urban,150
Beijing,2099-04-25,187,32.2,32.3,17.1,36.5,2.8,57,10,Suburban,312
Los Angeles,2099-04-26,474,44.6,37.4,28.6,46.0,22.3,44,11,Suburban,1424
Tokyo,2099-04-27,352,31.4,63.6,22.6,46.5,32.1,88,10,Urban,272
Mexico City,2099-04-28,82,37.6,64.8,24.5,57.5,31.4,55,3,Urban,1718
Delhi,2099-04-29,391,53.1,63.5,7.5,36.0,-3.5,76,10,Urban,462
Delhi,2099-04-30,276,55.4,30.7,44.5,39.7,17.5,54,12,Urban,381
Mexico City,2099-05-01,379,63.9,49.8,25.6,11.8,20.9,33,11,Urban,1392
London,2099-05-02,357,56.6,47.3,30.9,61.7,26.7,52,14,Urban,1193
Delhi,2099-05-03,331,12.6,42.8,44.7,34.2,19.0,56,10,Urban,1670
Beijing,2099-05-04,274,23.8,70.7,56.7,51.8,23.0,83,6,Urban,1891
Delhi,2099-05-05,116,44.5,62.1,29.3,43.4,10.5,82,12,Urban,1708
Beijing,2099-05-06,182,42.2,49.2,31.9,43.2,3.9,79,8,Urban,1650
Los Angeles,2099-05-07,203,32.1,61.2,28.9,32.6,9.8,25,12,Urban,321
Beijing,2099-05-08,105,47.4,50.3,23.5,47.9,3.3,37,14,Urban,1764
Beijing,2099-05-09,278,19.8,73.1,33.2,64.9,31.4,25,9,Urban,1144
Mexico City,2099-05-10,42,45.8,47.1,26.5,48.3,-1.7,38,5,Rural,1158
Beijing,2099-05-11,479,50.3,61.7,24.3,25.0,6.2,39,3,Urban,1664
Mexico City,2099-05-12,107,10.5,25.2,15.5,48.5,6.0,28,5,Urban,1653
Delhi,2099-05-13,89,36.6,46.4,37.0,22.9,4.8,92,11,Urban,1295
Delhi,2099-05-14,396,38.7,18.7,49.3,36.6,23.6,93,18,Urban,949
London,2099-05-15,301,20.0,55.7,34.2,33.9,12.2,84,7,Urban,742
Beijing,2099-05-16,29,15.3,43.3,31.5,17.1,30.2,48,4,Urban,1271
Delhi,2099-05-17,201,38.8,19.7,25.4,33.7,19.8,26,4,Rural,450
Beijing,2099-05-18,406,42.8,33.9,39.1,49.5,30.7,36,14,Urban,1612
Mexico City,2099-05-19,208,32.6,93.6,22.0,37.8,8.7,34,3,Urban,1290
Delhi,2099-05-20,320,28.9,54.9,35.0,44.7,33.2,22,7,Rural,549
Beijing,2099-05-21,375,41.7,47.5,32.0,33.9,5.0,53,7,Suburban,1540
Delhi,2099-05-22,463,12.8,87.6,8.1,19.7,22.1,33,8,Urban,872
London,2099-05-23,330,54.8,35.7,23.9,31.9,39.9,30,13,Urban,1661
Mexico City,2099-05-24,308,68.3,5.6,39.9,41.4,-1.9,29,12,Urban,1058
London,2099-05-25,265,36.6,49.2,41.8,10.1,-2.6,25,5,Rural,1695
Los Angeles,2099-05-26,247,55.2,42.8,55.6,35.5,18.0,51,15,Suburban,1249
London,2099-05-27,31,48.5,60.7,24.0,32.7,30.7,92,9,Rural,1188
Beijing,2099-05-28,139,73.2,89.1,22.6,39.2,18.7,85,9,Suburban,544
Delhi,2099-05-29,45,0.9,36.4,36.7,39.3,24.5,68,14,Rural,1398
Tokyo,2099-05-30,127,44.8,22.1,29.8,43.5,33.2,87,10,Urban,56
Tokyo,2099-05-31,261,2.8,45.1,23.8,51.3,20.1,45,1,Urban,677
Tokyo,2099-06-01,431,20.7,24.5,36.1,37.9,11.8,77,7,Urban,408
São Paulo,2099-06-02,421,34.0,49.6,38.5,48.8,20.6,67,10,Urban,737
Mexico City,2099-06-03,27,29.4,62.1,47.6,36.2,11.3,45,8,Urban,967
Beijing,2099-06-04,249,52.9,70.8,23.8,61.4,28.6,40,8,Suburban,1681
Los Angeles,2099-06-05,173,61.6,43.4,19.8,12.5,32.9,63,8,Urban,1283
Delhi,2099-06-06,282,41.7,42.3,45.1,44.9,21.5,54,17,Rural,1850
Los Angeles,2099-06-07,46,73.8,46.9,19.6,34.1,19.6,81,6,Urban,1519
London,2099-06-08,496,17.1,61.3,43.9,64.6,6.3,86,10,Rural,858
Mexico City,2099-06-09,131,21.0,40.1,20.5,36.9,26.1,66,11,Urban,75
Beijing,2099-06-10,121,18.2,72.0,18.0,40.8,27.4,29,5,Suburban,1037
Mexico City,2099-06-11,341,50.7,39.7,37.1,41.4,8.6,44,5,Urban,1163
Tokyo,2099-06-12,263,54.0,72.5,28.8,13.2,1.2,20,8,Urban,1345
Delhi,2099-06-13,234,12.1,33.2,28.0,60.4,5.3,48,5,Suburban,484
Beijing,2099-06-14,382,22.3,64.0,29.3,26.0,34.0,67,7,Urban,1644
Mexico City,2099-06-15,48,31.6,35.9,15.7,51.3,8.9,21,6,Urban,61
London,2099-06-16,475,26.2,48.5,20.6,37.6,4.6,39,4,Suburban,1916
Mexico City,2099-06-17,31,25.6,68.1,29.2,40.5,3.4,68,4,Rural,1894
Mexico City,2099-06-18,412,30.7,37.5,24.5,39.2,30.9,82,5,Rural,1420
Delhi,2099-06-19,283,20.6,87.2,15.8,24.0,21.6,87,6,Urban,587
Beijing,2099-06-20,265,50.5,59.9,31.4,34.7,-4.5,86,5,Suburban,195
Tokyo,2099-06-21,252,59.7,57.1,40.2,53.0,11.0,48,10,Urban,816
Beijing,2099-06-22,324,13.6,84.5,40.0,25.4,13.9,69,2,Urban,60
Beijing,2099-06-23,82,39.7,85.3,13.0,37.2,7.9,94,7,Suburban,1056
Beijing,2099-06-24,405,44.7,58.9,30.5,39.8,26.4,84,9,Urban,1223
Beijing,2099-06-25,273,21.2,67.6,19.8,47.9,15.4,72,1,Urban,1654
Beijing,2099-06-26,178,9.9,43.9,14.8,30.1,-0.6,33,7,Suburban,972
Los Angeles,2099-06-27,146,32.3,52.2,19.3,21.6,4.3,34,6,Urban,1813
Beijing,2099-06-28,398,26.3,18.9,11.8,34.3,15.1,76,4,Urban,851
Mexico City,2099-06-29,413,28.8,59.5,8.2,39.6,-0.4,84,7,Urban,1374
Beijing,2099-06-30,271,43.9,81.1,29.7,8.2,5.5,65,5,Rural,848
London,2099-07-01,116,52.8,57.9,31.8,27.9,19.2,51,9,Suburban,1313
Delhi,2099-07-02,161,75.1,68.3,38.6,32.7,39.8,26,7,Suburban,1240
Delhi,2099-07-03,393,41.0,39.3,38.4,44.3,18.1,47,5,Suburban,793
Beijing,2099-07-04,221,33.9,10.3,38.1,35.3,8.5,43,4,Suburban,1171
Cairo,2099-07-05,152,15.1,11.7,24.3,29.9,38.5,20,8,Suburban,191
Mexico City,2099-07-06,459,42.8,19.9,17.1,54.4,26.4,90,9,Urban,1620
Mexico City,2099-07-07,421,38.1,44.3,34.8,43.1,39.2,47,11,Urban,733
Beijing,2099-07-08,291,33.0,39.8,29.2,18.5,37.6,82,11,Urban,699
Delhi,2099-07-09,5,37.2,34.9,9.2,40.4,6.0,73,14,Urban,53
Cairo,2099-07-10,461,7.7,52.2,27.2,36.8,24.9,22,11,Rural,1319
Beijing,2099-07-11,467,4.6,18.8,22.2,55.7,37.8,31,6,Urban,903
Los Angeles,2099-07-12,468,52.1,73.1,28.9,35.6,26.4,48,11,Urban,1883
London,2099-07-13,60,5.0,64.7,23.9,44.7,2.3,32,1,Suburban,1703
Mexico City,2099-07-14,330,14.2,59.2,35.6,54.6,26.0,82,0,Suburban,1215
Delhi,2099-07-15,306,18.3,67.2,24.9,45.5,9.5,29,0,Urban,1819
Delhi,2099-07-16,31,41.1,26.3,37.6,63.9,3.5,47,7,Rural,1233
Delhi,2099-07-17,70,71.0,31.7,45.4,30.8,11.6,69,9,Urban,1978
Cairo,2099-07-18,461,34.3,35.3,22.3,16.7,32.1,69,8,Urban,1973
London,2099-07-19,54,24.6,43.7,22.5,32.0,19.6,68,3,Urban,1855
Beijing,2099-07-20,375,55.5,61.3,33.5,47.0,19.5,44,11,Suburban,1509
Tokyo,2099-07-21,434,18.7,7.7,20.5,49.6,11.1,70,6,Suburban,1002
Delhi,2099-07-22,205,46.5,49.2,15.7,40.6,6.8,33,6,Urban,1087
Delhi,2099-07-23,217,41.3,72.8,34.5,24.1,36.4,34,11,Suburban,167
Delhi,2099-07-24,227,24.8,15.8,27.0,61.6,7.4,59,6,Suburban,1472
Tokyo,2099-07-25,257,34.5,53.5,45.9,31.8,6.9,44,12,Urban,899
Delhi,2099-07-26,12,40.7,53.8,23.6,41.0,9.9,50,13,Urban,1488
Delhi,2099-07-27,38,27.8,47.7,28.4,52.7,20.8,63,7,Suburban,1600
Delhi,2099-07-28,435,33.5,53.0,33.5,41.7,3.4,64,5,Suburban,334
Beijing,2099-07-29,175,40.7,45.2,36.0,48.4,-4.9,62,8,Urban,969
Beijing,2099-07-30,463,45.9,25.7,28.1,40.0,4.2,68,9,Urban,447
Delhi,2099-07-31,37,10.7,56.5,24.1,46.4,10.0,83,7,Suburban,476
London,2099-08-01,55,35.1,8.4,33.1,15.5,33.5,55,8,Urban,1425
Cairo,2099-08-02,215,25.3,64.3,44.2,31.4,17.7,41,6,Suburban,760
Delhi,2099-08-03,381,56.2,55.8,17.4,44.7,9.0,69,5,Suburban,1803
Tokyo,2099-08-04,63,35.1,55.6,19.9,49.8,23.6,89,6,Urban,1951
London,2099-08-05,266,33.2,63.4,24.8,18.0,31.2,62,7,Urban,449
Tokyo,2099-08-06,138,57.4,83.1,33.7,51.5,16.8,42,12,Suburban,567
Delhi,2099-08-07,75,17.9,17.4,40.8,39.5,33.3,58,7,Rural,222
London,2099-08-08,125,37.3,54.4,22.7,19.9,39.9,59,10,Suburban,815
Mexico City,2099-08-09,335,28.1,71.9,40.0,47.6,12.2,25,8,Suburban,454
Delhi,2099-08-10,444,65.2,91.9,32.7,26.1,24.7,82,11,Urban,63
